7305344133	i4x-IITBombayX-CS101_1x-video-a43751d47a934a9da245f28a94e1759e	69508
7305344133	i4x-IITBombayX-CS101_1x-video-bd155f3df2254815ac1f6812f9b4e4bd	69548
7305344133	i4x-IITBombayX-CS101_1x-video-cfb296bd686b408bb997fb14696235fa	1
7305344133	i4x-IITBombayX-CS101_1x-video-e03113c234f14a848f725a44f8d1265d	0
7305344133	i4x-IITBombayX-CS101_1x-video-f61de37103ab42f2b50f5f5e43489e70	69605
7Will7	i4x-IITBombayX-CS101_1x-video-0e42365ee4d7497c89acbc7246f95a61	1056
7Will7	i4x-IITBombayX-CS101_1x-video-7f7d0dc837aa4fecbc04c1a8df04ee6e	0
7Will7	i4x-IITBombayX-CS101_1x-video-9baf3bd2d9fa461a9a488279457037a6	1
7Will7	i4x-IITBombayX-CS101_1x-video-fa1f6040f46a43298cc25fc33db89a83	1484
7grade	i4x-IITBombayX-CS101_1x-video-0e42365ee4d7497c89acbc7246f95a61	5
7grade	i4x-IITBombayX-CS101_1x-video-62598bbcc58949dabcd68f79f5b3652c	35748
7grade	i4x-IITBombayX-CS101_1x-video-7f7d0dc837aa4fecbc04c1a8df04ee6e	967
7grade	i4x-IITBombayX-CS101_1x-video-826444194f1542d482c0726f9d080ed3	734
7grade	i4x-IITBombayX-CS101_1x-video-a43751d47a934a9da245f28a94e1759e	748
7grade	i4x-IITBombayX-CS101_1x-video-bd155f3df2254815ac1f6812f9b4e4bd	0
7grade	i4x-IITBombayX-CS101_1x-video-e03113c234f14a848f725a44f8d1265d	839
7grade	i4x-IITBombayX-CS101_1x-video-f61de37103ab42f2b50f5f5e43489e70	2192
7kiran7	i4x-IITBombayX-CS101_1x-video-641407821f3a44ee9530a3ea900e2e80	246
7wik	i4x-IITBombayX-CS101_1x-video-641407821f3a44ee9530a3ea900e2e80	2
